"통계분류(1)","통계분류(2)",시점,이직 경험 있음
"성별","남성",2017,65.7
"성별","남성",2018,70.6
"성별","남성",2019,59.6
"성별","남성",2020,55.8
"성별","여성",2017,61.2
"성별","여성",2018,68.2
"성별","여성",2019,54.3
"성별","여성",2020,60
"연령별","20대",2017,31.6
"연령별","20대",2018,36.4
"연령별","20대",2019,32.2
"연령별","20대",2020,33.9
"연령별","30대",2017,62.1
"연령별","30대",2018,73.3
"연령별","30대",2019,55.4
"연령별","30대",2020,54.6
"연령별","40대",2017,85.4
"연령별","40대",2018,85.2
"연령별","40대",2019,75.3
"연령별","40대",2020,78.5
"연령별","50대",2017,85.4
"연령별","50대",2018,89.8
"연령별","50대",2019,73.6
"연령별","50대",2020,82.4
"연령별","60대 이상",2017,92.6
"연령별","60대 이상",2018,94.9
"연령별","60대 이상",2019,87.9
"연령별","60대 이상",2020,94.4
"근속년수","1년 미만",2017,0
"근속년수","1년 미만",2018,61
"근속년수","1~3년",2017,62.6
"근속년수","1~3년",2018,67.1
"근속년수","1~3년",2019,56.1
"근속년수","1~3년",2020,60.8
"근속년수","3~5년",2017,61.6
"근속년수","3~5년",2018,75
"근속년수","3~5년",2019,62.3
"근속년수","3~5년",2020,56.9
"근속년수","5~10년",2017,70.4
"근속년수","5~10년",2018,71.9
"근속년수","5~10년",2019,59.6
"근속년수","5~10년",2020,56.6
"근속년수","10년 이상",2017,59.3
"근속년수","10년 이상",2018,63.1
"근속년수","10년 이상",2019,46.1
"근속년수","10년 이상",2020,52.6
"업종별","광업",2017,69.6
"업종별","광업",2018,48.2
"업종별","광업",2019,63.5
"업종별","광업",2020,76.8
"업종별","제조업",2017,60.5
"업종별","제조업",2018,78.4
"업종별","제조업",2019,56.1
"업종별","제조업",2020,34.5
"업종별","전기, 가스, 증기 및 공기 조절 공급업",2017,48.3
"업종별","전기, 가스, 증기 및 공기 조절 공급업",2018,37.8
"업종별","전기, 가스, 증기 및 공기 조절 공급업",2019,39.6
"업종별","전기, 가스, 증기 및 공기 조절 공급업",2020,24
"업종별","수도, 하수 및 폐기물 처리, 원료재생업",2017,48.4
"업종별","수도, 하수 및 폐기물 처리, 원료재생업",2018,71.9
"업종별","수도, 하수 및 폐기물 처리, 원료재생업",2019,61.7
"업종별","수도, 하수 및 폐기물 처리, 원료재생업",2020,51.3
"업종별","건설업",2017,81.8
"업종별","건설업",2018,70.9
"업종별","건설업",2019,52.2
"업종별","건설업",2020,54.2
"업종별","도매 및 소매업",2017,66.4
"업종별","도매 및 소매업",2018,72.9
"업종별","도매 및 소매업",2019,55.6
"업종별","도매 및 소매업",2020,64.3
"업종별","운수 및 창고업",2017,74
"업종별","운수 및 창고업",2018,60.3
"업종별","운수 및 창고업",2019,57.2
"업종별","운수 및 창고업",2020,64.7
"업종별","숙박 및 음식점업",2017,68.8
"업종별","숙박 및 음식점업",2018,64.5
"업종별","숙박 및 음식점업",2019,66.4
"업종별","숙박 및 음식점업",2020,80.7
"업종별","정보통신업",2017,68.2
"업종별","정보통신업",2018,42.8
"업종별","정보통신업",2019,49.8
"업종별","정보통신업",2020,54.9
"업종별","금융 및 보험업",2017,46.7
"업종별","금융 및 보험업",2018,37.6
"업종별","금융 및 보험업",2019,38.2
"업종별","금융 및 보험업",2020,33.5
"업종별","부동산업",2017,78.1
"업종별","부동산업",2018,79.8
"업종별","부동산업",2019,73.7
"업종별","부동산업",2020,82
"업종별","전문,과학 및 기술 서비스업",2017,63.5
"업종별","전문,과학 및 기술 서비스업",2018,59
"업종별","전문,과학 및 기술 서비스업",2019,52.7
"업종별","전문,과학 및 기술 서비스업",2020,54
"업종별","사업시설 관리, 사업지원 및 임대 서비스업",2017,69.3
"업종별","사업시설 관리, 사업지원 및 임대 서비스업",2018,67.3
"업종별","사업시설 관리, 사업지원 및 임대 서비스업",2019,63.8
"업종별","사업시설 관리, 사업지원 및 임대 서비스업",2020,83
"업종별","보건업 및 사회복지 서비스업",2017,57.2
"업종별","보건업 및 사회복지 서비스업",2018,78.3
"업종별","보건업 및 사회복지 서비스업",2019,63.2
"업종별","보건업 및 사회복지 서비스업",2020,77.8
"업종별","예술,스포츠 및 여가관련 서비스업",2017,56.4
"업종별","예술,스포츠 및 여가관련 서비스업",2018,67.8
"업종별","예술,스포츠 및 여가관련 서비스업",2019,46.4
"업종별","예술,스포츠 및 여가관련 서비스업",2020,60.4
"업종별","협회 및 단체,수리 및 기타 개인 서비스업",2017,62.6
"업종별","협회 및 단체,수리 및 기타 개인 서비스업",2018,70.8
"업종별","협회 및 단체,수리 및 기타 개인 서비스업",2019,65.5
"업종별","협회 및 단체,수리 및 기타 개인 서비스업",2020,69.7
"종사자규모별","5~9인",2017,70.8
"종사자규모별","5~9인",2018,74.3
"종사자규모별","5~9인",2019,64
"종사자규모별","5~9인",2020,67.2
"종사자규모별","10~19인",2017,59.2
"종사자규모별","10~19인",2018,71
"종사자규모별","10~19인",2019,56.7
"종사자규모별","10~19인",2020,64.8
"종사자규모별","20~49인",2017,63.9
"종사자규모별","20~49인",2018,68.4
"종사자규모별","20~49인",2019,55.9
"종사자규모별","20~49인",2020,58
"종사자규모별","50~99인",2017,58.3
"종사자규모별","50~99인",2018,62.3
"종사자규모별","50~99인",2019,55.1
"종사자규모별","50~99인",2020,53.3
"종사자규모별","100인 이상",2017,64.8
"종사자규모별","100인 이상",2018,69.8
"종사자규모별","100인 이상",2019,53.9
"종사자규모별","100인 이상",2020,50.5
"혼인상태별","미혼",2017,48.8
"혼인상태별","미혼",2018,57
"혼인상태별","미혼",2019,43.3
"혼인상태별","미혼",2020,42.6
"혼인상태별","배우자있음",2017,78.6
"혼인상태별","배우자있음",2018,79
"혼인상태별","배우자있음",2019,66.4
"혼인상태별","배우자있음",2020,70.5
"혼인상태별","사별/이혼",2017,63.4
"혼인상태별","사별/이혼",2018,74.7
"혼인상태별","사별/이혼",2019,88.3
"혼인상태별","사별/이혼",2020,88.9
"학력별","중졸이하",2017,92.8
"학력별","중졸이하",2018,91.5
"학력별","중졸이하",2019,81.4
"학력별","중졸이하",2020,96.9
"학력별","고졸",2017,68.3
"학력별","고졸",2018,75
"학력별","고졸",2019,71.8
"학력별","고졸",2020,72.2
"학력별","전문(초대)졸",2017,65.4
"학력별","전문(초대)졸",2018,69.6
"학력별","전문(초대)졸",2019,60.3
"학력별","전문(초대)졸",2020,58.3
"학력별","대졸",2017,61.8
"학력별","대졸",2018,67.8
"학력별","대졸",2019,50
"학력별","대졸",2020,51.4
"학력별","대학원 이상",2017,72.9
"학력별","대학원 이상",2018,80.8
"학력별","대학원 이상",2019,53.2
"학력별","대학원 이상",2020,75.3
"직업별","관리자",2017,89.7
"직업별","관리자",2018,86.4
"직업별","관리자",2019,72.5
"직업별","관리자",2020,69.2
"직업별","전문가 및 관련 종사자",2017,67.7
"직업별","전문가 및 관련 종사자",2018,75.9
"직업별","전문가 및 관련 종사자",2019,57.5
"직업별","전문가 및 관련 종사자",2020,53.6
"직업별","사무 종사자",2017,60.1
"직업별","사무 종사자",2018,66.2
"직업별","사무 종사자",2019,51.3
"직업별","사무 종사자",2020,51.9
"직업별","서비스 종사자",2017,65.3
"직업별","서비스 종사자",2018,68.4
"직업별","서비스 종사자",2019,66
"직업별","서비스 종사자",2020,80.6
"직업별","판매 종사자",2017,63.9
"직업별","판매 종사자",2018,64.8
"직업별","판매 종사자",2019,50.3
"직업별","판매 종사자",2020,59.7
"직업별","기능원 및 관련 기능 종사자",2017,78.2
"직업별","기능원 및 관련 기능 종사자",2018,75.3
"직업별","기능원 및 관련 기능 종사자",2019,61.8
"직업별","기능원 및 관련 기능 종사자",2020,45.2
"직업별","장치, 기계조작 및 조립종사자",2017,85.9
"직업별","장치, 기계조작 및 조립종사자",2018,94.8
"직업별","장치, 기계조작 및 조립종사자",2019,65.3
"직업별","장치, 기계조작 및 조립종사자",2020,61.5
"직업별","단순노무종사자",2017,83.3
"직업별","단순노무종사자",2018,77.9
"직업별","단순노무종사자",2019,80.6
"직업별","단순노무종사자",2020,77.1
"월 평균 소득","200만원 미만",2017,49.6
"월 평균 소득","200만원 미만",2018,55.1
"월 평균 소득","200만원 미만",2019,62.5
"월 평균 소득","200만원 미만",2020,64.9
"월 평균 소득","200~300만원 미만",2017,63.3
"월 평균 소득","200~300만원 미만",2018,72.7
"월 평균 소득","200~300만원 미만",2019,53.2
"월 평균 소득","200~300만원 미만",2020,59.1
"월 평균 소득","300~400만원 미만",2017,74.6
"월 평균 소득","300~400만원 미만",2018,72
"월 평균 소득","300~400만원 미만",2019,61
"월 평균 소득","300~400만원 미만",2020,54.3
"월 평균 소득","400~500만원 미만",2017,80.6
"월 평균 소득","400~500만원 미만",2018,79.2
"월 평균 소득","400~500만원 미만",2019,65.3
"월 평균 소득","400~500만원 미만",2020,57.5
"월 평균 소득","500만원 이상",2017,59.7
"월 평균 소득","500만원 이상",2018,62.9
"월 평균 소득","500만원 이상",2019,53.6
"월 평균 소득","500만원 이상",2020,57.1
"근무형태별","전일제",2017,64
"근무형태별","전일제",2018,69.8
"근무형태별","전일제",2019,57.1
"근무형태별","전일제",2020,57.8
"근무형태별","단시간제",2017,87.1
"근무형태별","단시간제",2018,48
"근무형태별","단시간제",2019,45.5
"근무형태별","단시간제",2020,86.3
"고용형태별","정규직",2017,63.3
"고용형태별","정규직",2018,69.4
"고용형태별","정규직",2019,55.7
"고용형태별","정규직",2020,56
"고용형태별","무기계약직",2017,68.3
"고용형태별","무기계약직",2018,54.8
"고용형태별","무기계약직",2019,71.3
"고용형태별","무기계약직",2020,81.3
"고용형태별","계약직",2017,80.7
"고용형태별","계약직",2018,87.9
"고용형태별","계약직",2019,70.7
"고용형태별","계약직",2020,75.4
"고용형태별","기타",2017,74.6
"직급별","관리자급",2017,76.1
"직급별","관리자급",2018,80
"직급별","관리자급",2019,67.6
"직급별","관리자급",2020,72.1
"직급별","관리자급 미만",2017,59
"직급별","관리자급 미만",2018,67
"직급별","관리자급 미만",2019,54.7
"직급별","관리자급 미만",2020,53.9
"동거가구원수","1인",2017,64
"동거가구원수","1인",2018,57.7
"동거가구원수","1인",2019,52.9
"동거가구원수","1인",2020,56.2
"동거가구원수","2인",2017,72.5
"동거가구원수","2인",2018,71.5
"동거가구원수","2인",2019,56.7
"동거가구원수","2인",2020,60.2
"동거가구원수","3인",2017,56
"동거가구원수","3인",2018,70.7
"동거가구원수","3인",2019,56.3
"동거가구원수","3인",2020,46.4
"동거가구원수","4인 이상",2017,67.2
"동거가구원수","4인 이상",2018,73
"동거가구원수","4인 이상",2019,58.7
"동거가구원수","4인 이상",2020,67.6
