"시도별","주요 업종별",2018,2019,2020
"시도별","주요 업종별",사업체수 (개),사업체수 (개),사업체수 (개)
"전국","체인화 편의점",41359,41394,46364
"전국","문구용품 및 회화용품 소매업",1688,1675,1674
"전국","의약품 및 의료용품 소매업",3632,3836,4072
"전국","안경 및 렌즈 소매업",3184,3169,3260
"전국","한식 음식점업",29209,30927,35349
"전국","외국식 음식점업",7561,7476,8300
"전국","제과점업",7354,7390,7701
"전국","피자, 햄버거, 샌드위치 및 유사 음식점업",11576,12468,14072
"전국","치킨전문점",25110,25687,27303
"전국","김밥, 기타 간이음식점 및 포장 판매점",13077,13371,15812
"전국","생맥주 및 기타 주점업",11676,9965,9937
"전국","커피 및 기타 비알코올 음료점업",17615,18350,21342
"전국","자동차 전문 수리업",7038,7044,5494
"전국","두발 미용업",3897,3933,4126
"전국","가정용 세탁업",4575,4832,4720
"전국","기타 프랜차이즈",21548,23671,25346
"서울특별시","체인화 편의점",8102,7756,8339
"서울특별시","문구용품 및 회화용품 소매업",359,362,356
"서울특별시","의약품 및 의료용품 소매업",1009,1053,1112
"서울특별시","안경 및 렌즈 소매업",612,628,615
"서울특별시","한식 음식점업",5658,5875,6476
"서울특별시","외국식 음식점업",1824,1806,1910
"서울특별시","제과점업",1511,1451,1500
"서울특별시","피자, 햄버거, 샌드위치 및 유사 음식점업",1915,2314,2541
"서울특별시","치킨전문점",3690,3761,3975
"서울특별시","김밥, 기타 간이음식점 및 포장 판매점",2444,2533,2984
"서울특별시","생맥주 및 기타 주점업",1869,1557,1486
"서울특별시","커피 및 기타 비알코올 음료점업",4064,4190,4526
"서울특별시","자동차 전문 수리업",852,828,687
"서울특별시","두발 미용업",1219,1233,1310
"서울특별시","가정용 세탁업",919,960,941
"서울특별시","기타 프랜차이즈",3611,4308,4449
"부산광역시","체인화 편의점",2367,2324,2588
"부산광역시","문구용품 및 회화용품 소매업",72,80,81
"부산광역시","의약품 및 의료용품 소매업",177,205,214
"부산광역시","안경 및 렌즈 소매업",214,208,223
"부산광역시","한식 음식점업",1861,1957,2273
"부산광역시","외국식 음식점업",557,522,549
"부산광역시","제과점업",446,435,442
"부산광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",731,746,861
"부산광역시","치킨전문점",1791,1891,1963
"부산광역시","김밥, 기타 간이음식점 및 포장 판매점",794,812,1000
"부산광역시","생맥주 및 기타 주점업",626,553,529
"부산광역시","커피 및 기타 비알코올 음료점업",1265,1392,1626
"부산광역시","자동차 전문 수리업",371,378,332
"부산광역시","두발 미용업",216,224,224
"부산광역시","가정용 세탁업",340,362,355
"부산광역시","기타 프랜차이즈",1429,1469,1492
"대구광역시","체인화 편의점",1436,1450,1734
"대구광역시","문구용품 및 회화용품 소매업",27,28,31
"대구광역시","의약품 및 의료용품 소매업",172,179,183
"대구광역시","안경 및 렌즈 소매업",163,153,151
"대구광역시","한식 음식점업",1360,1431,1658
"대구광역시","외국식 음식점업",353,319,314
"대구광역시","제과점업",362,350,358
"대구광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",498,512,588
"대구광역시","치킨전문점",1239,1279,1288
"대구광역시","김밥, 기타 간이음식점 및 포장 판매점",731,749,832
"대구광역시","생맥주 및 기타 주점업",455,408,407
"대구광역시","커피 및 기타 비알코올 음료점업",779,833,1001
"대구광역시","자동차 전문 수리업",386,380,284
"대구광역시","두발 미용업",104,75,97
"대구광역시","가정용 세탁업",189,202,205
"대구광역시","기타 프랜차이즈",1057,1108,1159
"인천광역시","체인화 편의점",2189,2206,2501
"인천광역시","문구용품 및 회화용품 소매업",79,77,75
"인천광역시","의약품 및 의료용품 소매업",190,197,202
"인천광역시","안경 및 렌즈 소매업",158,165,147
"인천광역시","한식 음식점업",1722,1753,2085
"인천광역시","외국식 음식점업",385,393,466
"인천광역시","제과점업",397,380,417
"인천광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",657,682,754
"인천광역시","치킨전문점",1289,1321,1460
"인천광역시","김밥, 기타 간이음식점 및 포장 판매점",685,686,860
"인천광역시","생맥주 및 기타 주점업",615,545,603
"인천광역시","커피 및 기타 비알코올 음료점업",986,1049,1260
"인천광역시","자동차 전문 수리업",295,292,269
"인천광역시","두발 미용업",263,275,282
"인천광역시","가정용 세탁업",217,220,211
"인천광역시","기타 프랜차이즈",1168,1241,1295
"광주광역시","체인화 편의점",1048,1039,1125
"광주광역시","문구용품 및 회화용품 소매업",42,45,43
"광주광역시","의약품 및 의료용품 소매업",120,128,134
"광주광역시","안경 및 렌즈 소매업",126,132,141
"광주광역시","한식 음식점업",711,752,904
"광주광역시","외국식 음식점업",197,205,228
"광주광역시","제과점업",190,182,189
"광주광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",376,375,434
"광주광역시","치킨전문점",685,696,787
"광주광역시","김밥, 기타 간이음식점 및 포장 판매점",440,391,487
"광주광역시","생맥주 및 기타 주점업",569,408,394
"광주광역시","커피 및 기타 비알코올 음료점업",554,605,706
"광주광역시","자동차 전문 수리업",175,172,173
"광주광역시","두발 미용업",122,158,164
"광주광역시","가정용 세탁업",110,128,137
"광주광역시","기타 프랜차이즈",718,818,922
"대전광역시","체인화 편의점",1100,1100,1266
"대전광역시","문구용품 및 회화용품 소매업",28,30,29
"대전광역시","의약품 및 의료용품 소매업",93,99,101
